cantidad_animales,peso_promedio_entrada,precio_compra_kg,costo_adquisicion_total,costo_combustible_viaje,costo_peajes_lavado,costo_flete_estimado,mantenimiento_camion_prorrateado,costo_fijo_diario_lote,factor_ocupacion_granja,tasa_consumo_energia_agua,costo_mano_obra_asignada,duracion_estadia_dias,costo_alimentacion_total,costo_sanitario_total,merma_peso_transporte,peso_salida_esperado,mes_adquisicion,dia_semana_llegada,es_feriado_proximo,dias_para_festividad,costo_operativo_por_cabeza,ratio_alimento_precio_compra,indicador_eficiencia_estadia,precio_venta_kg
36,114.27,20.31,83548.88,75.49,178.44,1301.65,20.83,950.0,0.626,3.36,43.48,2,93.19,384.04,17.65,4179.2,2,3,0,999,69.6,0.0011,57.13,23.31
120,85.84,21.3,219380.09,106.7,249.84,1610.81,17.44,950.0,0.581,9.54,123.42,2,415.59,1419.96,60.98,10548.45,3,5,0,999,24.31,0.0019,42.92,24.28
92,94.37,21.36,185462.24,49.25,277.53,1403.52,17.34,1425.0,0.827,6.8,87.99,3,354.48,591.56,41.67,9022.46,1,2,0,999,34.3,0.0019,31.46,24.61
103,111.15,24.98,286014.58,78.62,269.77,2022.66,18.29,475.0,0.413,8.2,106.16,1,107.92,811.97,67.58,11503.14,10,6,0,999,27.63,0.0004,111.15,28.82
100,101.1,18.8,190078.97,80.3,253.06,1956.07,17.34,950.0,0.583,7.91,102.37,2,374.79,1272.84,47.11,10316.25,11,6,0,999,32.39,0.002,50.55,21.93
116,102.01,23.96,283557.23,75.71,172.02,1646.9,17.44,950.0,0.441,8.81,114.02,2,368.64,1632.98,82.43,12092.96,6,2,1,1,24.52,0.0013,51.0,26.53
21,98.42,24.05,49696.61,106.94,230.5,1232.71,16.76,950.0,0.303,1.6,20.76,2,73.86,114.38,11.17,2094.25,8,2,1,1,120.01,0.0015,49.21,28.81
107,100.14,21.87,234361.17,75.3,243.61,1492.86,17.05,950.0,0.548,7.71,99.8,2,343.09,613.5,65.75,10841.17,4,2,1,2,25.81,0.0015,50.07,25.6
17,103.72,20.41,35984.96,106.62,188.22,1106.31,17.34,475.0,0.333,1.26,16.26,1,25.78,243.75,13.16,1772.66,1,5,1,5,110.36,0.0007,103.72,26.04
62,91.02,21.63,122094.65,96.27,180.65,1734.42,18.87,1425.0,0.523,5.1,65.96,3,329.22,401.72,32.43,5851.44,7,2,0,999,55.42,0.0027,30.34,24.22
75,104.52,20.05,157157.3,97.38,239.83,1647.5,20.83,475.0,0.679,7.0,90.59,1,77.41,1109.47,28.89,7880.21,2,4,0,999,32.8,0.0005,104.52,23.77
49,86.52,23.59,100020.59,100.38,218.89,1229.18,17.34,475.0,0.525,3.88,50.16,1,64.28,650.83,28.17,4260.68,11,4,0,999,41.29,0.0006,86.52,27.54
26,100.13,21.49,55939.6,81.68,199.97,1375.86,17.05,475.0,0.706,1.87,24.25,1,42.31,161.38,14.26,2622.32,4,0,0,999,82.02,0.0008,100.13,24.03
31,98.93,24.48,75078.69,50.01,289.61,1090.82,16.95,950.0,0.476,2.15,27.83,2,120.53,186.78,21.43,3116.45,9,6,0,999,76.79,0.0016,49.46,28.14
101,92.57,22.36,209044.76,107.11,270.51,1256.08,17.05,475.0,0.541,7.28,94.2,1,140.76,1492.07,73.74,9419.76,4,1,0,999,20.88,0.0007,92.57,24.87
45,97.32,21.6,94594.63,75.19,190.7,1617.07,20.83,1425.0,0.825,4.2,54.35,3,266.66,339.67,29.53,4536.91,2,0,1,0,73.51,0.0028,32.44,24.43
44,92.52,22.98,93538.26,52.17,200.96,661.97,18.87,1425.0,0.445,3.62,46.81,3,231.7,457.01,34.57,4186.9,7,0,0,999,53.18,0.0025,30.84,25.45
112,88.93,21.53,214408.95,51.47,232.97,2172.07,17.44,950.0,0.6,8.9,115.19,2,332.62,824.58,48.67,10194.85,3,6,0,999,30.42,0.0016,44.46,24.73
25,94.67,24.33,57587.34,49.83,159.95,1092.99,21.13,1425.0,0.729,2.23,28.86,3,107.19,275.17,10.49,2450.07,5,1,0,999,109.11,0.0019,31.56,27.1
111,88.67,19.29,189866.27,108.04,172.59,2479.48,17.05,475.0,0.517,8.0,103.53,1,125.37,1487.43,49.47,9888.65,4,5,0,999,29.15,0.0007,88.67,22.32
112,100.08,24.81,278139.48,52.07,215.33,1953.15,17.34,475.0,0.482,8.86,114.66,1,180.9,1295.74,71.17,11261.02,11,3,0,999,24.07,0.0007,100.08,28.32
76,88.3,23.69,158946.31,104.59,261.82,1908.45,18.87,950.0,0.718,6.25,80.86,2,159.96,415.43,31.64,6847.51,7,4,0,999,42.43,0.001,44.15,26.59
28,103.2,24.03,69420.21,78.78,237.9,1129.36,16.95,1425.0,0.344,1.94,25.14,3,120.04,306.65,9.64,2999.81,9,6,0,999,102.54,0.0017,34.4,28.33
27,88.05,21.38,50827.53,52.51,201.76,857.27,16.76,950.0,0.459,2.06,26.69,2,66.84,313.47,21.3,2432.66,8,0,1,3,76.35,0.0013,44.02,26.35
41,92.97,23.86,90950.05,79.21,192.22,986.09,17.34,1425.0,0.545,3.24,41.97,3,240.62,287.37,18.75,3896.37,11,6,0,999,65.43,0.0026,30.99,27.95
74,92.5,20.15,137913.81,107.42,274.31,1583.6,17.44,950.0,0.43,5.62,72.74,2,201.76,933.97,30.43,7020.77,6,2,0,999,39.4,0.0015,46.25,21.64
27,108.1,23.33,68104.63,104.71,178.12,1038.76,17.34,950.0,0.623,2.14,27.64,2,80.42,304.26,12.94,2972.11,11,2,0,999,84.13,0.0012,54.05,27.89
60,100.14,18.98,114061.01,78.34,249.0,1374.01,17.34,1425.0,0.671,4.75,61.42,3,247.59,305.73,22.75,6131.83,11,1,0,999,52.11,0.0022,33.38,22.31
22,95.81,20.15,42469.52,79.51,207.96,1034.5,17.75,1425.0,0.879,1.7,21.97,3,75.06,319.12,6.99,2171.17,12,3,0,999,124.86,0.0018,31.94,23.79
69,101.49,21.12,147899.89,53.24,293.53,1668.06,16.95,950.0,0.661,4.79,61.95,2,186.66,652.45,31.24,7167.75,9,4,0,999,42.97,0.0013,50.74,23.58
12,80.64,20.26,19602.15,52.03,236.42,791.8,17.75,1425.0,0.655,0.93,11.98,3,64.04,87.89,5.63,999.91,12,3,1,1,208.77,0.0033,26.88,26.33
88,97.15,20.71,177055.39,79.3,247.13,1692.35,16.95,950.0,0.735,6.11,79.01,2,285.33,515.85,62.08,8711.69,9,1,0,999,33.74,0.0016,48.58,23.93
16,113.48,23.74,43105.62,77.41,159.16,1273.24,17.05,950.0,0.424,1.15,14.92,2,46.0,139.91,8.29,1845.67,4,4,1,7,153.74,0.0011,56.74,28.07
31,98.56,19.8,60485.39,54.3,219.7,746.8,20.83,475.0,0.582,2.89,37.44,1,56.44,250.41,20.72,3072.2,2,4,0,999,48.25,0.0009,98.56,22.44
29,98.04,23.22,66011.78,108.38,236.17,1431.18,17.44,475.0,0.799,2.3,29.83,1,29.12,231.41,19.37,2856.85,3,2,0,999,77.61,0.0004,98.04,26.46
102,101.89,18.52,192423.16,82.78,196.63,1683.98,18.87,1425.0,0.405,8.39,108.52,3,558.94,1319.07,70.84,10669.55,7,2,0,999,33.22,0.0029,33.96,20.86
15,104.66,23.36,36674.83,54.75,276.84,580.03,17.44,475.0,0.474,1.19,15.43,1,15.89,171.89,11.39,1580.06,3,0,0,999,92.44,0.0004,104.66,27.76
57,81.52,23.54,109401.61,103.38,204.35,1584.09,17.44,950.0,0.431,4.53,58.63,2,213.21,360.84,31.31,4739.57,3,5,1,6,49.86,0.0019,40.76,26.92
75,84.04,20.81,131179.52,54.25,196.8,1427.71,16.76,1425.0,0.875,5.73,74.13,3,438.2,906.06,26.4,6486.85,8,1,0,999,41.38,0.0033,28.01,23.13
67,99.18,23.06,153221.04,97.62,188.3,1301.16,21.13,950.0,0.512,5.98,77.35,2,243.77,819.73,21.4,6770.39,5,5,0,999,37.87,0.0016,49.59,25.33
85,91.78,24.41,190400.33,52.35,299.4,1328.52,16.95,475.0,0.495,5.9,76.31,1,86.67,862.13,33.44,7879.55,9,6,0,999,25.36,0.0005,91.78,28.98
99,108.0,23.6,252375.69,75.48,307.22,2460.99,17.75,1425.0,0.789,7.64,98.86,3,453.28,1480.81,70.75,10957.28,12,3,1,0,43.12,0.0018,36.0,27.56
53,94.98,20.73,104367.78,72.84,257.14,1325.61,20.83,475.0,0.845,4.95,64.02,1,96.93,415.24,31.12,5072.31,2,0,0,999,40.2,0.0009,94.98,23.9
101,82.02,21.39,177199.11,108.35,169.8,1467.45,16.76,1425.0,0.302,7.71,99.83,3,468.14,564.04,37.38,8540.28,8,6,0,999,31.39,0.0026,27.34,23.74
45,87.36,23.46,92203.93,55.05,175.44,1034.22,18.29,475.0,0.827,3.58,46.38,1,61.2,237.96,16.48,3968.89,10,1,1,6,38.66,0.0007,87.36,26.16
119,80.0,20.05,190858.5,102.19,153.85,1956.41,20.83,950.0,0.724,11.11,143.74,2,350.03,976.45,88.74,9765.65,2,5,0,999,26.58,0.0018,40.0,23.36
66,95.63,23.63,149120.15,75.44,185.89,1547.97,18.29,950.0,0.818,5.26,68.02,2,142.65,658.63,36.96,6428.93,10,1,0,999,41.81,0.001,47.81,27.92
91,95.99,20.3,177297.14,53.85,153.37,1403.01,18.87,950.0,0.352,7.48,96.82,2,272.33,526.19,35.12,8926.97,7,6,0,999,28.13,0.0015,48.0,22.56
107,94.1,23.64,238054.42,77.32,212.57,1523.95,16.76,950.0,0.323,8.17,105.76,2,219.96,1140.4,80.08,10261.97,8,1,0,999,25.83,0.0009,47.05,26.31
97,106.13,18.61,191559.88,106.13,277.81,1918.61,17.34,950.0,0.501,7.17,92.77,2,318.96,1358.84,64.06,10486.3,1,0,1,3,33.53,0.0017,53.07,21.72
104,107.09,18.31,203930.25,83.19,176.4,2420.69,17.44,1425.0,0.809,7.9,102.23,3,433.82,1348.74,56.04,11407.23,6,0,0,999,39.47,0.0021,35.7,20.11
69,96.14,24.98,165728.2,51.44,210.04,1061.02,21.13,1425.0,0.599,6.16,79.66,3,246.61,809.0,36.74,6853.13,5,3,0,999,39.82,0.0015,32.05,26.02
14,80.42,24.09,27119.0,75.34,196.11,620.36,20.83,950.0,0.732,1.31,16.91,2,28.49,162.64,8.91,1147.56,2,3,0,999,131.56,0.0011,40.21,28.7
64,102.44,24.18,158524.8,75.58,209.8,1731.4,18.29,1425.0,0.447,5.1,65.96,3,369.05,787.39,30.03,6732.17,10,1,0,999,53.78,0.0023,34.15,26.54
30,101.94,24.66,75414.16,49.65,286.72,877.2,18.87,1425.0,0.5,2.47,31.92,3,140.07,298.26,24.0,3136.23,7,5,0,999,87.95,0.0019,33.98,28.71
108,99.98,21.07,227480.13,51.76,165.21,1785.72,17.34,950.0,0.826,8.54,110.56,2,355.74,973.94,74.77,10957.01,11,1,0,999,27.34,0.0016,49.99,24.81
36,105.35,20.01,75883.09,95.44,276.3,1228.89,20.83,950.0,0.594,3.36,43.48,2,128.11,290.4,22.34,3829.23,2,5,0,999,70.85,0.0017,52.68,22.42
35,88.18,18.91,58363.38,49.8,220.72,719.17,16.95,475.0,0.767,2.43,31.42,1,56.93,209.87,22.53,3110.0,9,3,0,999,41.85,0.001,88.18,22.37
37,113.57,21.51,90380.54,75.63,178.11,1150.44,16.76,950.0,0.683,2.83,36.57,2,104.57,393.0,29.53,4262.03,8,6,0,999,63.63,0.0012,56.79,25.44
81,89.82,19.54,142171.41,97.37,271.11,1099.63,16.76,475.0,0.405,6.19,80.06,1,131.83,787.74,24.74,7323.65,8,2,0,999,23.99,0.0009,89.82,21.74
73,103.49,24.55,185467.74,54.13,188.57,1025.86,17.05,475.0,0.866,5.26,68.09,1,91.43,451.8,22.73,7604.07,4,4,1,7,23.88,0.0005,103.49,28.94
115,84.0,18.03,174153.22,73.9,279.55,1970.87,16.95,1425.0,0.867,7.98,103.25,3,538.67,883.51,79.64,10004.07,9,3,0,999,32.6,0.0031,28.0,20.47
56,90.06,19.0,95833.58,55.06,185.81,1212.49,17.05,475.0,0.768,4.04,52.23,1,67.51,720.83,22.66,5085.68,4,2,1,2,34.44,0.0007,90.06,22.55
41,109.63,19.73,88662.78,98.21,176.85,1344.59,18.29,950.0,0.581,3.27,42.26,2,157.23,309.8,26.35,4575.65,10,1,0,999,62.67,0.0018,54.82,22.99
15,95.41,19.39,27754.67,73.93,232.56,832.1,17.44,1425.0,0.557,1.14,14.74,3,67.93,138.86,8.28,1474.33,6,2,0,999,170.91,0.0024,31.8,22.16
10,104.22,19.58,20406.62,95.34,229.46,1074.76,17.44,950.0,0.478,0.76,9.83,2,24.68,66.13,4.59,1065.43,6,3,0,999,234.96,0.0012,52.11,22.55
51,99.4,22.59,114524.55,104.93,180.89,1098.26,18.87,1425.0,0.687,4.19,54.26,3,250.86,341.62,21.2,5178.67,7,4,1,6,55.08,0.0022,33.13,25.6
112,96.66,20.29,219686.66,75.47,276.5,1928.58,17.34,1425.0,0.486,8.28,107.12,3,366.35,1407.11,77.1,11161.88,1,5,0,999,33.09,0.0017,32.22,24.09
68,108.41,22.31,164432.26,52.57,259.88,1187.88,21.13,950.0,0.411,6.07,78.51,2,195.03,385.34,26.21,7489.89,5,4,0,999,36.03,0.0012,54.21,24.91
109,95.61,24.23,252522.88,73.96,215.17,1820.38,17.44,1425.0,0.336,8.66,112.11,3,610.17,855.68,41.35,10711.62,3,0,0,999,32.43,0.0024,31.87,27.0
21,83.25,22.22,38844.35,55.9,238.44,941.39,17.75,1425.0,0.554,1.62,20.97,3,111.38,310.98,10.94,1829.41,12,4,1,7,126.7,0.0029,27.75,26.27
20,91.07,22.86,41642.22,74.1,240.82,1109.4,17.44,950.0,0.789,1.52,19.66,2,68.14,195.18,7.19,1870.48,6,2,1,1,118.72,0.0016,45.54,25.78
102,101.91,20.56,213701.17,51.88,153.89,2172.83,17.34,1425.0,0.774,7.54,97.56,3,450.0,1128.34,63.32,10615.61,1,5,0,999,37.29,0.0021,33.97,25.05
21,100.66,19.12,40414.77,106.78,211.54,1033.22,17.34,475.0,0.809,1.55,20.09,1,30.38,239.57,16.72,2114.87,1,5,0,999,86.98,0.0008,100.66,22.98
15,84.96,20.24,25800.14,75.35,259.09,786.27,17.34,475.0,0.663,1.19,15.36,1,15.17,104.42,10.11,1285.45,11,0,0,999,106.38,0.0006,84.96,25.07
54,91.71,24.75,122563.97,50.87,178.55,1003.66,20.83,950.0,0.82,5.04,65.22,2,172.8,469.44,32.49,5018.8,2,4,0,999,40.43,0.0014,45.85,27.44
112,92.85,22.35,232440.55,106.2,211.55,1907.11,17.34,950.0,0.769,8.28,107.12,2,353.25,1008.79,55.7,10667.83,1,3,1,0,28.35,0.0015,46.42,25.59
86,94.58,19.94,162204.09,98.92,227.77,1522.9,17.44,950.0,0.784,6.83,88.45,2,172.91,628.39,68.28,8236.26,3,3,0,999,32.55,0.0011,47.29,22.19
21,86.49,21.16,38427.37,72.83,295.8,1050.23,17.44,1425.0,0.605,1.67,21.6,3,71.63,154.14,15.54,1869.36,3,5,0,999,135.42,0.0019,28.83,25.07
102,92.47,23.85,224945.86,52.0,286.41,2034.02,17.34,950.0,0.351,7.54,97.56,2,206.54,1130.03,72.45,9529.42,1,4,0,999,32.57,0.0009,46.24,27.83
103,91.67,22.68,214138.94,72.93,249.97,2004.09,17.75,1425.0,0.528,7.95,102.85,3,387.23,626.73,42.75,9762.85,12,2,1,1,36.43,0.0018,30.56,27.82
98,103.67,21.92,222751.04,82.26,180.08,2053.92,17.34,1425.0,0.808,7.24,93.73,3,295.13,616.56,35.46,10398.47,1,3,1,0,38.18,0.0013,34.56,26.34
110,103.97,24.2,276731.9,103.93,157.36,1993.38,16.95,475.0,0.745,7.63,98.76,1,155.91,1180.63,42.79,11515.43,9,2,0,999,24.82,0.0006,103.97,26.62
36,96.33,22.71,78748.29,53.08,193.57,1156.16,17.34,950.0,0.307,2.85,36.85,2,106.3,341.76,15.46,3556.49,11,0,1,0,65.36,0.0013,48.17,26.89
118,94.36,22.5,250525.64,97.94,239.76,2936.31,16.76,475.0,0.356,9.01,116.63,1,169.58,1312.08,40.22,11209.96,8,0,0,999,31.77,0.0007,94.36,25.53
45,98.62,19.33,85776.88,53.9,279.74,1161.39,20.83,950.0,0.695,4.2,54.35,2,107.95,237.13,33.49,4516.38,2,2,0,999,54.33,0.0013,49.31,22.51
99,90.97,18.74,168810.69,53.74,198.67,1676.71,16.95,950.0,0.887,6.87,88.88,2,301.66,1192.87,38.87,9153.3,9,2,0,999,29.08,0.0018,45.48,21.92
74,88.33,24.76,161807.05,73.43,298.06,1884.6,21.13,475.0,0.738,6.6,85.43,1,134.24,998.92,30.58,6596.28,5,4,1,0,36.91,0.0008,88.33,28.86
96,89.98,22.19,191692.58,55.17,193.02,1262.36,21.13,475.0,0.869,8.56,110.83,1,123.96,983.17,71.43,8662.71,5,5,1,5,20.68,0.0006,89.98,24.52
79,92.42,20.91,152668.56,78.83,158.53,2044.68,17.05,950.0,0.339,5.69,73.68,2,207.39,1059.26,61.55,7441.53,4,3,1,1,40.91,0.0014,46.21,24.22
81,88.19,22.12,158038.22,81.04,185.27,2217.37,18.29,475.0,0.828,6.45,83.48,1,124.97,728.73,33.28,7218.78,10,2,0,999,36.53,0.0008,88.19,25.19
78,98.8,18.43,142044.57,50.84,161.41,1649.39,18.87,475.0,0.376,6.41,82.99,1,96.23,451.56,34.87,7781.74,7,4,1,6,29.96,0.0007,98.8,20.86
96,103.34,23.75,235658.53,96.86,276.63,1699.27,20.83,950.0,0.83,8.96,115.95,2,256.85,842.44,67.2,10130.28,2,3,0,999,31.49,0.0011,51.67,26.63
92,84.8,19.52,152265.84,53.92,200.74,1105.69,21.13,1425.0,0.884,8.21,106.21,3,400.87,870.66,72.23,7997.08,5,4,1,6,30.28,0.0026,28.27,20.57
24,97.7,23.63,55412.48,106.0,285.32,1354.0,18.29,950.0,0.606,1.91,24.74,2,66.54,327.73,15.0,2372.56,10,5,0,999,112.3,0.0012,48.85,27.24
101,95.74,21.74,210227.55,100.45,226.56,2216.37,17.75,1425.0,0.619,7.79,100.85,3,550.92,843.06,52.65,9869.83,12,2,0,999,39.29,0.0026,31.91,26.62
69,100.23,19.94,137877.66,73.05,198.08,1366.35,17.75,475.0,0.598,5.32,68.9,1,127.58,562.42,43.97,6962.03,12,2,0,999,30.62,0.0009,100.23,24.51
45,97.4,18.21,79817.99,54.73,148.9,1318.61,20.83,1425.0,0.631,4.2,54.35,3,189.39,624.61,31.06,4477.45,2,3,0,999,65.49,0.0024,32.47,20.25
67,85.87,23.71,136417.22,98.0,239.89,1528.54,17.34,950.0,0.792,5.3,68.59,2,194.0,503.15,23.87,5911.75,11,1,0,999,42.04,0.0014,42.94,27.88
117,87.4,19.24,196697.52,51.37,200.41,2029.73,18.87,1425.0,0.468,9.62,124.48,3,686.87,1336.66,60.56,10683.19,7,6,0,999,31.68,0.0035,29.13,21.96
105,97.74,18.36,188441.33,53.4,292.69,1413.45,16.95,475.0,0.469,7.28,94.27,1,157.82,867.97,76.51,10280.58,9,6,0,999,21.28,0.0008,97.74,20.14
102,105.73,23.29,251183.0,96.56,207.13,1493.22,21.13,950.0,0.881,9.1,117.76,2,406.58,1480.49,66.58,10921.57,5,3,0,999,26.93,0.0016,52.87,26.09
61,80.0,20.45,99797.48,73.55,180.46,1462.68,16.76,950.0,0.809,4.66,60.29,2,215.06,420.67,22.99,4999.37,8,2,0,999,43.72,0.0022,40.0,24.25
97,100.27,20.73,201570.16,95.55,174.01,2033.3,17.05,1425.0,0.624,6.99,90.47,3,367.89,1187.22,65.73,9980.56,4,6,0,999,38.43,0.0018,33.42,23.69
52,107.02,19.73,109792.2,55.42,195.57,1091.03,18.87,1425.0,0.42,4.28,55.32,3,191.74,546.03,32.95,5703.24,7,4,0,999,53.21,0.0017,35.67,23.02
86,96.28,24.01,198831.22,76.04,230.82,1756.13,17.44,1425.0,0.873,6.83,88.45,3,299.04,1271.69,37.18,8488.15,3,1,0,999,40.56,0.0015,32.09,26.74
80,101.9,20.08,163705.41,104.18,284.85,1562.53,21.13,1425.0,0.827,7.14,92.36,3,433.47,1195.25,37.76,8455.76,5,0,0,999,42.21,0.0026,33.97,21.75
37,91.88,19.47,66190.74,108.65,285.17,1560.04,21.13,1425.0,0.497,3.3,42.72,3,145.06,478.67,16.92,3524.23,5,4,1,6,91.32,0.0022,30.63,21.93
39,96.55,20.16,75925.47,79.76,202.3,1167.72,17.34,475.0,0.624,3.09,39.93,1,65.36,235.35,31.07,3769.59,11,3,0,999,49.35,0.0009,96.55,23.55
16,84.53,19.42,26268.77,102.34,232.93,1048.64,16.76,475.0,0.551,1.22,15.81,1,24.64,155.04,6.27,1359.1,8,1,0,999,116.18,0.0009,84.53,23.13
25,80.0,20.22,40447.17,52.65,277.07,629.02,16.76,1425.0,0.805,1.91,24.71,3,136.95,338.63,17.87,2082.17,8,1,0,999,95.35,0.0034,26.67,23.81
58,105.04,18.58,113200.97,76.72,196.77,1529.49,17.05,950.0,0.712,4.18,54.1,2,203.09,660.32,32.79,6153.74,4,1,0,999,47.47,0.0018,52.52,22.09
63,89.62,19.11,107894.62,53.2,208.92,1332.69,17.44,1425.0,0.595,4.79,61.92,3,201.05,868.75,46.64,5867.11,6,0,0,999,47.93,0.0019,29.87,21.16
28,93.86,20.92,54975.3,108.24,168.12,1415.6,17.44,1425.0,0.88,2.13,27.52,3,112.43,363.82,22.15,2704.15,6,0,0,999,111.32,0.002,31.29,22.94
56,86.41,24.16,116889.13,105.92,231.7,1553.76,18.29,950.0,0.665,4.46,57.72,2,170.25,455.26,43.71,4957.68,10,2,0,999,50.74,0.0015,43.2,27.3
77,86.22,18.4,122163.71,100.97,271.44,1519.23,17.44,475.0,0.59,6.12,79.2,1,138.88,535.2,55.99,6686.17,3,0,0,999,30.74,0.0011,86.22,20.3
35,96.11,19.49,65556.66,99.72,185.32,1618.61,17.34,1425.0,0.856,2.59,33.48,3,179.97,287.9,17.74,3495.82,1,1,1,2,95.1,0.0027,32.04,24.07
47,91.66,24.36,104940.43,55.18,187.07,1019.9,18.87,475.0,0.569,3.86,50.0,1,72.82,562.09,20.47,4349.78,7,5,0,999,36.96,0.0007,91.66,27.24
50,100.52,24.23,121785.06,74.21,162.61,1434.59,18.29,475.0,0.55,3.98,51.53,1,90.42,490.53,22.99,5063.38,10,5,0,999,42.93,0.0007,100.52,28.85
66,101.12,22.76,151873.23,106.75,188.9,1876.36,16.95,475.0,0.533,4.58,59.26,1,94.71,358.94,41.35,6693.38,9,4,0,999,40.11,0.0006,101.12,26.44
50,100.07,19.68,98482.31,50.79,171.89,951.28,18.29,475.0,0.432,3.98,51.53,1,52.78,621.24,23.55,5045.26,10,4,0,999,32.98,0.0005,100.07,22.38
91,99.41,20.94,189415.46,80.24,285.47,1594.55,21.13,950.0,0.467,8.12,105.06,2,340.44,495.67,47.09,9220.17,5,6,0,999,31.98,0.0018,49.7,23.07
46,110.12,19.48,98670.89,106.16,305.35,1514.12,17.44,1425.0,0.354,3.66,47.31,3,210.67,418.28,15.63,5204.3,3,2,0,999,72.84,0.0021,36.71,21.71
58,88.96,18.9,97517.75,77.76,265.31,1712.26,16.76,1425.0,0.736,4.43,57.33,3,314.66,558.12,39.76,5327.11,8,5,0,999,60.01,0.0032,29.65,20.83
52,97.06,20.66,104274.0,97.82,292.16,1357.68,17.34,950.0,0.653,3.84,49.73,2,144.78,521.57,18.5,5128.76,1,2,0,999,51.88,0.0014,48.53,23.69
30,106.56,22.03,70428.91,81.59,296.44,1124.82,17.34,475.0,0.859,2.37,30.71,1,47.66,191.73,14.06,3215.28,11,0,0,999,65.93,0.0007,106.56,25.72
86,107.62,20.52,189908.31,76.62,239.97,1998.5,16.95,950.0,0.666,5.97,77.21,2,228.95,1073.1,51.19,9356.37,9,4,0,999,37.97,0.0012,53.81,24.3
36,86.13,22.28,69066.74,76.14,302.86,1031.19,18.87,1425.0,0.348,2.96,38.3,3,152.23,485.77,20.36,3197.55,7,4,0,999,78.76,0.0022,28.71,25.01
42,95.0,20.07,80095.37,78.1,196.11,1206.37,17.44,475.0,0.672,3.34,43.2,1,48.19,503.12,31.36,4006.02,3,5,0,999,46.56,0.0006,95.0,23.84
97,108.36,20.42,214652.85,101.12,233.13,1686.1,17.05,475.0,0.405,6.99,90.47,1,168.94,1407.54,61.05,10586.2,4,3,1,1,25.73,0.0008,108.36,23.01
115,101.56,23.53,274883.89,104.49,194.34,2156.33,17.75,475.0,0.322,8.87,114.83,1,147.23,871.13,79.87,11734.5,12,2,1,1,25.48,0.0005,101.56,28.17
84,99.06,24.15,200942.43,49.96,185.18,1318.6,17.34,1425.0,0.697,6.21,80.34,3,328.04,555.01,37.94,8645.2,1,1,0,999,35.46,0.0016,33.02,28.08
111,95.76,20.25,215286.27,101.13,259.11,2687.0,17.34,475.0,0.316,8.2,106.16,1,150.31,629.7,40.64,10752.56,1,6,0,999,31.73,0.0007,95.76,24.56
104,94.43,22.0,216060.9,82.07,205.84,1663.82,21.13,1425.0,0.545,9.28,120.07,3,446.82,1270.38,69.85,10011.12,5,3,0,999,32.47,0.0021,31.48,24.65
63,99.81,19.95,125422.85,73.18,252.6,1670.19,17.44,475.0,0.837,5.01,64.8,1,99.3,417.13,23.74,6340.76,3,2,0,999,39.22,0.0008,99.81,23.15
95,95.48,18.37,166659.0,52.2,247.06,1602.66,16.95,950.0,0.453,6.59,85.29,2,319.73,1366.27,68.12,9194.37,9,5,0,999,30.02,0.0019,47.74,20.97
46,97.16,23.17,103532.06,79.67,179.1,1490.41,17.34,1425.0,0.717,3.4,44.0,3,231.25,505.24,35.49,4626.48,1,4,1,6,69.0,0.0022,32.39,26.15
61,98.13,19.2,114910.63,82.03,189.74,1264.91,18.29,475.0,0.525,4.86,62.87,1,86.84,795.52,26.93,6028.82,10,2,0,999,32.98,0.0008,98.13,21.64
69,92.08,20.98,133290.15,78.98,311.34,1119.92,18.29,475.0,0.367,5.5,71.11,1,102.25,644.94,46.95,6365.22,10,1,0,999,28.77,0.0008,92.08,25.05
116,101.76,21.41,252711.66,54.77,190.09,2415.96,17.44,1425.0,0.418,9.22,119.31,3,396.83,1432.42,60.17,12074.43,3,2,0,999,35.22,0.0016,33.92,24.38
104,115.0,19.29,230723.96,98.23,179.4,1839.68,18.87,1425.0,0.344,8.55,110.65,3,474.71,981.4,46.75,12310.03,7,4,1,6,34.06,0.0021,38.33,21.34
64,83.28,18.66,99471.27,76.47,234.11,1247.17,16.95,1425.0,0.39,4.44,57.46,3,360.39,664.81,33.0,5461.49,9,3,0,999,46.61,0.0036,27.76,20.93
82,100.09,20.44,167730.28,82.6,182.24,1679.74,17.34,475.0,0.397,6.49,83.95,1,119.76,1044.34,51.12,8243.79,11,4,0,999,29.51,0.0007,100.09,22.68
32,91.42,24.67,72157.71,55.2,279.8,783.75,16.95,1425.0,0.829,2.22,28.73,3,186.05,236.21,25.41,3035.36,9,4,0,999,79.49,0.0026,30.47,28.59
99,102.12,22.31,225508.75,52.91,231.47,1831.32,17.75,475.0,0.784,7.64,98.86,1,114.42,1370.66,44.55,10146.47,12,4,1,7,26.17,0.0005,102.12,26.28
71,97.87,20.67,143633.79,101.67,205.38,1818.42,20.83,950.0,0.512,6.63,85.76,2,246.64,863.57,46.36,7085.39,2,3,1,2,43.32,0.0017,48.94,25.11
69,103.59,18.27,130611.74,52.16,204.98,754.83,16.76,1425.0,0.733,5.27,68.2,3,353.55,860.11,32.25,7379.27,8,1,0,999,35.32,0.0027,34.53,20.48
95,106.9,22.2,225480.07,96.0,210.99,1280.42,18.29,1425.0,0.422,7.57,97.91,3,479.24,701.25,40.44,10407.43,10,5,0,999,31.71,0.0021,35.63,25.64
